Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240602
Jahr;spring;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1968;spring;   126.2;   126.3;   271.4;   186.0;   178.3;   139.9;   143.3;   143.6;   156.7;   157.5;   150.5;   190.4;   151.6;   113.1;   136.5;   165.9;   167.6;
1969;spring;   161.3;   160.9;   248.6;   191.3;   212.5;   129.1;   209.8;   209.8;   224.7;   207.7;   166.0;   271.5;   199.8;   182.4;   202.9;   228.7;   199.6;
1970;spring;   186.0;   186.0;   313.4;   280.3;   216.6;   221.1;   208.7;   208.8;   246.2;   244.6;   199.9;   326.2;   242.7;   171.2;   191.4;   216.7;   239.1;
1971;spring;   106.8;   106.6;   149.9;   187.4;   158.4;   106.7;    74.1;    73.8;   131.4;   138.0;    77.6;   132.8;   124.0;   102.1;   118.0;   138.0;   130.9;
1972;spring;   165.0;   165.1;   224.8;   209.2;   208.0;   178.1;   193.9;   194.1;   226.8;   193.2;   198.0;   211.2;   176.2;   151.7;   172.4;   198.4;   197.8;
1973;spring;   132.5;   132.3;   195.4;   177.9;   138.5;   108.4;   152.7;   152.6;   190.4;   138.0;   154.3;   162.5;   176.7;   109.5;   121.9;   137.6;   157.6;
1974;spring;    87.1;    87.0;   158.8;   162.2;   130.0;    57.0;   102.2;   102.1;   145.3;   127.9;    74.1;   154.9;   142.6;    89.5;   105.0;   124.4;   124.4;
1975;spring;    96.7;    96.9;   180.0;   180.3;   166.6;   136.7;   200.2;   200.3;   187.5;   168.3;   153.9;   184.3;   147.5;   146.0;   159.0;   175.3;   167.4;
1976;spring;    69.1;    69.4;   133.2;   143.3;    78.5;   103.7;    99.3;    98.9;   101.6;    78.0;    95.8;    86.3;    87.8;    74.4;    82.6;    92.9;   104.5;
1977;spring;   158.5;   158.4;   182.5;   183.1;   131.0;   145.4;   156.3;   156.4;   178.1;   135.7;   165.9;   153.5;   168.7;   171.2;   165.4;   158.0;   165.6;
1978;spring;   106.8;   106.9;   329.4;   255.2;   226.0;    99.9;   153.9;   153.9;   221.4;   276.6;   154.8;   300.8;   194.4;   114.5;   134.8;   160.3;   203.1;
1979;spring;   143.4;   143.2;   265.2;   260.3;   236.7;   157.0;   212.9;   212.6;   269.5;   265.2;   211.7;   349.3;   175.9;   166.9;   182.0;   201.1;   223.8;
1980;spring;   127.2;   127.1;   216.1;   240.0;   167.2;   108.6;   128.8;   128.2;   167.2;   161.4;    85.8;   180.7;   187.7;   136.9;   153.7;   174.9;   170.2;
1981;spring;   175.5;   175.4;   236.0;   209.3;   249.1;   183.7;   228.6;   228.9;   245.7;   225.2;   213.3;   254.4;   224.2;   177.7;   198.7;   225.1;   217.1;
1982;spring;   119.0;   119.1;   184.2;   145.3;   186.9;   128.7;   163.2;   163.1;   197.0;   174.1;   154.8;   167.8;   136.1;   100.6;   118.3;   140.5;   154.8;
1983;spring;   202.4;   202.2;   403.3;   268.6;   301.1;   249.6;   268.0;   267.6;   302.7;   334.8;   271.9;   418.0;   196.4;   221.1;   242.3;   268.9;   279.0;
1984;spring;   123.3;   123.1;   214.3;   190.1;   243.5;   106.3;   162.6;   161.7;   237.1;   232.4;   106.4;   254.0;   133.2;   146.3;   168.9;   197.4;   179.3;
1985;spring;   119.2;   119.7;   279.2;   236.4;   190.5;   129.6;   151.9;   151.9;   208.5;   193.9;   153.4;   212.5;   153.2;   127.6;   137.8;   150.7;   186.5;
1986;spring;   179.3;   179.2;   308.0;   268.8;   231.8;   145.7;   160.9;   160.4;   245.6;   240.7;   148.0;   279.2;   221.3;   183.9;   203.6;   228.4;   222.4;
1987;spring;   128.1;   128.2;   270.3;   266.2;   220.8;   106.2;   161.8;   161.5;   237.9;   194.4;   156.8;   218.0;   175.9;   108.8;   143.7;   187.5;   198.7;
1988;spring;    88.2;    88.3;   343.9;   287.2;   204.9;   101.4;   164.2;   164.2;   204.5;   230.4;   168.0;   266.5;   143.0;    98.5;   129.1;   167.5;   202.5;
1989;spring;    86.0;    86.1;   222.0;   197.0;   182.9;    82.4;   131.1;   131.5;   186.1;   224.8;   151.5;   268.1;   134.2;    78.9;   113.5;   157.0;   160.2;
1990;spring;    71.9;    71.8;   144.6;   155.2;   100.1;    90.2;   119.2;   119.8;   118.0;   100.3;   138.5;    91.5;   105.8;    69.6;    80.9;    95.1;   116.9;
1991;spring;   114.5;   114.3;   152.2;   165.2;    94.3;    92.0;    84.8;    85.1;   104.5;   104.3;   106.8;    95.8;   126.8;    88.8;    90.9;    93.5;   118.2;
1992;spring;   141.5;   141.6;   213.6;   197.0;   170.0;   156.3;   193.8;   194.3;   204.4;   166.7;   187.8;   176.4;   153.2;   134.8;   146.1;   160.3;   180.4;
1993;spring;    99.5;    99.3;   158.2;   153.3;   125.1;    97.0;   128.1;   127.7;   157.9;   147.4;    85.4;   156.9;   129.9;   114.1;   117.8;   122.5;   132.9;
1994;spring;   221.4;   221.2;   337.4;   285.4;   252.9;   190.6;   248.3;   247.8;   272.4;   220.1;   214.9;   241.9;   263.4;   256.5;   262.2;   269.4;   260.5;
1995;spring;   146.6;   146.5;   317.4;   271.4;   224.0;   144.9;   188.6;   188.5;   208.2;   235.5;   168.7;   289.9;   225.1;   143.9;   178.4;   221.9;   219.1;
1996;spring;   121.2;   120.8;   192.2;   189.1;   121.8;   121.0;    99.3;    99.2;   103.8;   120.0;    93.0;   113.3;   149.7;   107.9;   124.1;   144.4;   137.8;
1997;spring;   126.4;   126.4;   155.1;   177.3;   130.4;   150.3;   168.5;   168.6;   182.6;   140.3;   173.8;   151.4;   171.4;   118.9;   129.6;   143.1;   158.1;
1998;spring;   133.0;   133.0;   212.2;   179.1;   204.3;   157.6;   209.3;   208.8;   266.6;   216.3;   190.1;   259.0;   148.7;   132.4;   147.2;   165.8;   189.4;
1999;spring;   131.6;   131.9;   286.3;   275.8;   171.6;   153.6;   152.5;   151.8;   217.5;   176.3;   148.1;   210.4;   154.3;   129.9;   146.4;   167.2;   197.4;
2000;spring;   141.1;   140.8;   265.3;   287.5;   163.4;   123.4;   183.5;   183.2;   196.6;   204.1;   161.2;   221.2;   236.8;   145.7;   168.4;   197.0;   206.9;
