Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230902
Jahr;summer;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2010;summer;   739.3;   739.0;   641.8;   636.9;   680.4;   731.5;   686.7;   686.6;   665.6;   685.6;   673.2;   701.1;   684.3;   695.6;   681.6;   664.1;   676.1;
2011;summer;   608.8;   608.7;   603.8;   582.2;   507.3;   575.0;   492.2;   492.4;   482.7;   525.9;   537.1;   542.2;   598.0;   569.9;   556.8;   540.3;   553.0;
2012;summer;   612.8;   612.7;   662.9;   646.3;   568.6;   591.0;   558.1;   558.3;   539.7;   587.5;   596.1;   602.6;   613.3;   582.6;   576.3;   568.4;   600.2;
2013;summer;   761.6;   761.8;   754.7;   735.8;   700.1;   788.6;   698.5;   699.2;   648.6;   722.4;   741.4;   745.3;   719.3;   742.6;   721.3;   693.4;   725.2;
2014;summer;   691.1;   691.2;   625.4;   638.7;   616.1;   707.6;   616.4;   617.3;   574.6;   621.6;   693.3;   629.4;   642.2;   647.2;   634.9;   618.9;   637.1;
2015;summer;   730.2;   730.1;   727.8;   733.6;   677.0;   710.7;   638.0;   638.0;   651.3;   693.0;   655.5;   709.5;   720.9;   704.9;   697.4;   687.6;   696.9;
2016;summer;   671.0;   670.9;   651.8;   638.5;   579.4;   648.8;   583.1;   583.2;   557.9;   571.7;   594.1;   575.7;   649.2;   658.3;   640.4;   617.1;   619.3;
2017;summer;   661.1;   661.0;   710.8;   720.3;   608.2;   632.4;   566.7;   567.2;   556.5;   642.7;   594.3;   669.6;   682.9;   625.3;   626.1;   627.2;   643.9;
2018;summer;   823.2;   823.1;   789.1;   779.6;   774.0;   819.3;   746.9;   747.0;   740.8;   782.6;   761.7;   816.5;   772.1;   808.4;   787.7;   760.7;   778.6;
2019;summer;   807.4;   807.2;   809.5;   787.0;   769.3;   776.7;   704.3;   703.9;   740.2;   802.8;   673.5;   840.3;   791.2;   768.0;   759.7;   748.8;   767.4;
2020;summer;   693.0;   692.5;   710.5;   695.6;   640.2;   710.4;   634.5;   635.7;   600.0;   659.6;   710.1;   694.3;   653.0;   668.5;   651.5;   629.4;   669.3;
2021;summer;   666.8;   666.7;   625.2;   645.7;   577.5;   683.0;   568.7;   569.3;   540.9;   593.5;   628.4;   602.3;   622.9;   605.5;   588.1;   565.4;   612.5;
2022;summer;   792.4;   792.1;   894.6;   840.5;   848.5;   794.3;   768.5;   768.6;   790.1;   875.3;   756.6;   904.1;   786.5;   806.2;   806.6;   807.1;   817.3;
2023;summer;   694.2;   693.6;   770.1;   752.3;   716.1;   714.4;   683.5;   683.9;   674.5;   732.9;   720.7;   753.3;   703.8;   689.8;   696.7;   705.7;   717.2;
