Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240302
Jahr;winter;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1981;winter;     0.29;     0.28;    -1.47;    -2.37;    -0.80;     0.58;     0.99;     1.00;     1.11;    -0.15;     1.03;     0.09;    -0.75;     0.29;    -0.49;    -1.47;    -0.42;
1982;winter;    -2.14;    -2.15;    -0.93;    -2.56;    -1.54;    -2.40;    -0.88;    -0.89;     0.40;    -0.61;    -1.89;     0.18;    -2.08;    -1.63;    -1.95;    -2.35;    -1.53;
1983;winter;     1.91;     1.90;     1.13;     0.24;     1.35;     1.91;     2.43;     2.44;     2.48;     1.77;     2.46;     2.02;     1.00;     1.95;     1.37;     0.64;     1.51;
1984;winter;     0.66;     0.65;    -0.03;    -1.15;     0.58;     0.60;     1.57;     1.57;     2.11;     1.19;     1.23;     1.43;    -0.05;     0.91;     0.33;    -0.40;     0.48;
1985;winter;    -2.95;    -2.97;    -2.27;    -3.69;    -2.28;    -2.94;    -1.53;    -1.54;    -0.88;    -1.59;    -1.92;    -1.18;    -3.30;    -2.36;    -2.76;    -3.27;    -2.46;
1986;winter;    -1.18;    -1.20;    -0.93;    -1.81;    -0.74;    -0.95;    -0.16;    -0.15;     0.43;    -0.15;    -0.40;     0.28;    -1.63;    -1.10;    -1.42;    -1.83;    -0.90;
1987;winter;    -2.09;    -2.10;    -1.15;    -2.28;    -1.27;    -1.63;    -0.61;    -0.61;     0.12;    -0.52;    -0.48;    -0.10;    -2.53;    -1.81;    -2.06;    -2.40;    -1.39;
1988;winter;     2.78;     2.77;     2.12;     1.19;     2.50;     2.81;     3.70;     3.70;     3.92;     2.85;     3.34;     3.06;     1.99;     2.98;     2.43;     1.73;     2.57;
1989;winter;     3.50;     3.49;     2.24;     1.41;     2.85;     3.88;     4.32;     4.33;     4.39;     3.21;     4.43;     3.22;     2.55;     3.58;     2.97;     2.20;     3.06;
1990;winter;     4.07;     4.06;     2.87;     1.60;     3.56;     4.04;     4.78;     4.79;     5.12;     3.86;     4.46;     4.07;     3.46;     4.33;     3.73;     2.96;     3.56;
1991;winter;     0.10;     0.09;    -0.57;    -1.58;    -0.22;     0.53;     1.09;     1.10;     1.20;     0.22;     1.28;     0.58;    -0.54;     0.23;    -0.27;    -0.90;    -0.06;
1992;winter;     2.12;     2.11;     0.31;    -0.37;     1.32;     2.35;     2.89;     2.90;     2.83;     1.62;     3.08;     1.83;     1.16;     2.22;     1.60;     0.81;     1.50;
1993;winter;     1.04;     1.03;     0.96;    -0.41;     0.82;     1.37;     1.96;     1.97;     2.32;     1.56;     2.19;     1.98;     0.37;     1.24;     0.66;    -0.07;     1.01;
1994;winter;     1.85;     1.83;     2.33;     1.41;     2.09;     1.52;     2.34;     2.34;     3.00;     2.66;     1.87;     3.04;     1.57;     2.00;     1.63;     1.18;     2.00;
1995;winter;     2.90;     2.90;     2.64;     1.50;     2.80;     2.75;     3.64;     3.65;     4.06;     3.47;     3.22;     3.92;     2.22;     3.14;     2.65;     2.04;     2.79;
